time,c_air,c_soil,c_veg,co2_ppm,p00_type,p00_stage,p00_stress,p00_stress_age,p00_stress_env,p00_co2_ppm,p01_type,p01_stage,p01_stress,p01_stress_age,p01_stress_env,p01_co2_ppm,p02_type,p02_stage,p02_stress,p02_stress_age,p02_stress_env,p02_co2_ppm,p03_type,p03_stage,p03_stress,p03_stress_age,p03_stress_env,p03_co2_ppm,p04_type,p04_stage,p04_stress,p04_stress_age,p04_stress_env,p04_co2_ppm,p05_type,p05_stage,p05_stress,p05_stress_age,p05_stress_env,p05_co2_ppm,p10_type,p10_stage,p10_stress,p10_stress_age,p10_stress_env,p10_co2_ppm,p11_type,p11_stage,p11_stress,p11_stress_age,p11_stress_env,p11_co2_ppm,p12_type,p12_stage,p12_stress,p12_stress_age,p12_stress_env,p12_co2_ppm,p13_type,p13_stage,p13_stress,p13_stress_age,p13_stress_env,p13_co2_ppm,p14_type,p14_stage,p14_stress,p14_stress_age,p14_stress_env,p14_co2_ppm,p15_type,p15_stage,p15_stress,p15_stress_age,p15_stress_env,p15_co2_ppm,p20_type,p20_stage,p20_stress,p20_stress_age,p20_stress_env,p20_co2_ppm,p21_type,p21_stage,p21_stress,p21_stress_age,p21_stress_env,p21_co2_ppm,p22_type,p22_stage,p22_stress,p22_stress_age,p22_stress_env,p22_co2_ppm,p23_type,p23_stage,p23_stress,p23_stress_age,p23_stress_env,p23_co2_ppm,p24_type,p24_stage,p24_stress,p24_stress_age,p24_stress_env,p24_co2_ppm,p25_type,p25_stage,p25_stress,p25_stress_age,p25_stress_env,p25_co2_ppm,p30_type,p30_stage,p30_stress,p30_stress_age,p30_stress_env,p30_co2_ppm,p31_type,p31_stage,p31_stress,p31_stress_age,p31_stress_env,p31_co2_ppm,p32_type,p32_stage,p32_stress,p32_stress_age,p32_stress_env,p32_co2_ppm,p33_type,p33_stage,p33_stress,p33_stress_age,p33_stress_env,p33_co2_ppm,p34_type,p34_stage,p34_stress,p34_stress_age,p34_stress_env,p34_co2_ppm,p35_type,p35_stage,p35_stress,p35_stress_age,p35_stress_env,p35_co2_ppm,p40_type,p40_stage,p40_stress,p40_stress_age,p40_stress_env,p40_co2_ppm,p41_type,p41_stage,p41_stress,p41_stress_age,p41_stress_env,p41_co2_ppm,p42_type,p42_stage,p42_stress,p42_stress_age,p42_stress_env,p42_co2_ppm,p43_type,p43_stage,p43_stress,p43_stress_age,p43_stress_env,p43_co2_ppm,p44_type,p44_stage,p44_stress,p44_stress_age,p44_stress_env,p44_co2_ppm,p45_type,p45_stage,p45_stress,p45_stress_age,p45_stress_env,p45_co2_ppm,p50_type,p50_stage,p50_stress,p50_stress_age,p50_stress_env,p50_co2_ppm,p51_type,p51_stage,p51_stress,p51_stress_age,p51_stress_env,p51_co2_ppm,p52_type,p52_stage,p52_stress,p52_stress_age,p52_stress_env,p52_co2_ppm,p53_type,p53_stage,p53_stress,p53_stress_age,p53_stress_env,p53_co2_ppm,p54_type,p54_stage,p54_stress,p54_stress_age,p54_stress_env,p54_co2_ppm,p55_type,p55_stage,p55_stress,p55_stress_age,p55_stress_env,p55_co2_ppm,p00_c_absorbed,p01_c_absorbed,p02_c_absorbed,p03_c_absorbed,p04_c_absorbed,p05_c_absorbed,p10_c_absorbed,p11_c_absorbed,p12_c_absorbed,p13_c_absorbed,p14_c_absorbed,p15_c_absorbed,p20_c_absorbed,p21_c_absorbed,p22_c_absorbed,p23_c_absorbed,p24_c_absorbed,p25_c_absorbed,p30_c_absorbed,p31_c_absorbed,p32_c_absorbed,p33_c_absorbed,p34_c_absorbed,p35_c_absorbed,p40_c_absorbed,p41_c_absorbed,p42_c_absorbed,p43_c_absorbed,p44_c_absorbed,p45_c_absorbed,p50_c_absorbed,p51_c_absorbed,p52_c_absorbed,p53_c_absorbed,p54_c_absorbed,p55_c_absorbed
0,3649996148796352170.82,0.00,3851203647829.18,1623.23,C,1,0,0,0,1623.2347789987873,C,1,0,0,0,1623.2354450549494,C,1,0,0,0,1623.2357780830305,C,1,0,0,0,1623.2353499040694,C,1,0,0,0,1623.2352547531889,C,1,0,0,0,1623.2346838479077,C,1,0,0,0,1623.2359208093505,C,1,0,0,0,1623.2354926303894,C,1,0,0,0,1623.2358256584703,C,1,0,0,0,1623.234493546147,C,1,0,0,0,1623.2346362724675,C,1,0,0,0,1623.234445970707,C,1,0,0,0,1623.2353023286291,C,1,0,0,0,1623.2345411215872,C,1,0,0,0,1623.236015960231,C,1,0,0,0,1623.234874149668,C,1,0,0,0,1623.235016875988,C,1,0,0,0,1623.2345886970272,C,1,0,0,0,1623.2349217251078,C,1,0,0,0,1623.2351120268684,C,1,0,0,0,1623.2353974795094,C,1,0,0,0,1623.2356829321502,C,1,0,0,0,1623.2358732339105,C,1,0,0,0,1623.2349693005483,C,1,0,0,0,1623.235207177749,C,1,0,0,0,1623.2357305075902,C,1,0,0,0,1623.2360635356713,C,1,0,0,0,1623.2359683847912,C,1,0,0,0,1623.2347314233473,C,1,0,0,0,1623.2355402058295,C,1,0,0,0,1623.2351596023086,C,1,0,0,0,1623.2356353567097,C,1,0,0,0,1623.2361111111109,C,1,0,0,0,1623.23558778127,C,1,0,0,0,1623.2348265742278,C,1,0,0,0,1623.2350644514283,106977879106.37,106977879106.37,106977879106.37,106977879106.37,106977879106.37,106977879106.37,106977879106.37,106977879106.37,106977879106.37,106977879106.37,106977879106.37,106977879106.37,106977879106.37,106977879106.37,106977879106.37,106977879106.37,106977879106.37,106977879106.37,106977879106.37,106977879106.37,106977879106.37,106977879106.37,106977879106.37,106977879106.37,106977879106.37,106977879106.37,106977879106.37,106977879106.37,106977879106.37,106977879106.37,106977879106.37,106977879106.37,106977879106.37,106977879106.37,106977879106.37,106977879106.37
1,3649969153014141982.62,37356675383.94,30809629182633.44,1623.22,C,1,0,0,0,1623.2313968607493,C,1,0,0,0,1623.231063356914,C,1,0,0,0,1623.2307298530786,C,1,0,0,0,1623.227394814726,C,1,0,0,0,1623.226727807055,C,1,0,0,0,1623.2237262725378,C,1,0,0,0,1623.2303963492434,C,1,0,0,0,1623.2277283185608,C,1,0,0,0,1623.2343983952665,C,1,0,0,0,1623.2330643799255,C,1,0,0,0,1623.2300628454082,C,1,0,0,0,1623.2283953262317,C,1,0,0,0,1623.2257272955499,C,1,0,0,0,1623.2230592648673,C,1,0,0,0,1623.2327308760903,C,1,0,0,0,1623.2340648914317,C,1,0,0,0,1623.2253937917146,C,1,0,0,0,1623.2290623339027,C,1,0,0,0,1623.222725761032,C,1,0,0,0,1623.2247267840435,C,1,0,0,0,1623.224059776373,C,1,0,0,0,1623.2337313875962,C,1,0,0,0,1623.2323973722553,C,1,0,0,0,1623.2270613108908,C,1,0,0,0,1623.2297293415727,C,1,0,0,0,1623.2233927687025,C,1,0,0,0,1623.2250602878787,C,1,0,0,0,1623.2293958377375,C,1,0,0,0,1623.228728830067,C,1,0,0,0,1623.2317303645846,C,1,0,0,0,1623.2263943032203,C,1,0,0,0,1623.233397883761,C,1,0,0,0,1623.2243932802085,C,1,0,0,0,1623.2280618223965,C,1,0,0,0,1623.23206386842,C,1,0,0,0,1623.226060799385,748845153744.56,748845153744.56,748845153744.56,748845153744.56,748845153744.56,748845153744.56,748845153744.56,748845153744.56,748845153744.56,748845153744.56,748845153744.56,748845153744.56,748845153744.56,748845153744.56,748845153744.56,748845153744.56,748845153744.56,748845153744.56,748845153744.56,748845153744.56,748845153744.56,748845153744.56,748845153744.56,748845153744.56,748845153744.56,748845153744.56,748845153744.56,748845153744.56,748845153744.56,748845153744.56,748845153744.56,748845153744.56,748845153744.56,748845153744.56,748845153744.56,748845153744.56
2,3649895682412130418.20,335089378193.97,103982498491387.83,1623.19,C,1,0,0,0,1623.214223116433,C,1,0,0,0,1623.2133153770358,C,1,0,0,0,1623.2124076376379,C,1,0,0,0,1623.2033302436623,C,1,0,0,0,1623.2015147648672,C,1,0,0,0,1623.193345110289,C,1,0,0,0,1623.2114998982406,C,1,0,0,0,1623.2042379830602,C,1,0,0,0,1623.2223927710118,C,1,0,0,0,1623.2187618134212,C,1,0,0,0,1623.210592158843,C,1,0,0,0,1623.2060534618554,C,1,0,0,0,1623.1987915466746,C,1,0,0,0,1623.1915296314937,C,1,0,0,0,1623.2178540740238,C,1,0,0,0,1623.221485031614,C,1,0,0,0,1623.1978838072769,C,1,0,0,0,1623.2078689406503,C,1,0,0,0,1623.190621892096,C,1,0,0,0,1623.1960683284817,C,1,0,0,0,1623.1942528496866,C,1,0,0,0,1623.2205772922164,C,1,0,0,0,1623.2169463346263,C,1,0,0,0,1623.2024225042649,C,1,0,0,0,1623.2096844194455,C,1,0,0,0,1623.1924373708914,C,1,0,0,0,1623.1969760678792,C,1,0,0,0,1623.2087766800475,C,1,0,0,0,1623.2069612012524,C,1,0,0,0,1623.215130855831,C,1,0,0,0,1623.2006070254697,C,1,0,0,0,1623.219669552819,C,1,0,0,0,1623.1951605890843,C,1,0,0,0,1623.2051457224577,C,1,0,0,0,1623.2160385952286,C,1,0,0,0,1623.1996992860722,2032579703020.96,2032579703020.96,2032579703020.96,2032579703020.96,2032579703020.96,2032579703020.96,2032579703020.96,2032579703020.96,2032579703020.96,2032579703020.96,2032579703020.96,2032579703020.96,2032579703020.96,2032579703020.96,2032579703020.96,2032579703020.96,2032579703020.96,2032579703020.96,2032579703020.96,2032579703020.96,2032579703020.96,2032579703020.96,2032579703020.96,2032579703020.96,2032579703020.96,2032579703020.96,2032579703020.96,2032579703020.96,2032579703020.96,2032579703020.96,2032579703020.96,2032579703020.96,2032579703020.96,2032579703020.96,2032579703020.96,2032579703020.96
3,3649752189299606717.88,1333666932214.61,246477033461067.51,1623.13,C,1,0,0,0,1623.173760531736,C,1,0,0,0,1623.1719873950829,C,1,0,0,0,1623.1702142584288,C,1,0,0,0,1623.1524828918944,C,1,0,0,0,1623.1489366185874,C,1,0,0,0,1623.1329783887065,C,1,0,0,0,1623.1684411217752,C,1,0,0,0,1623.154256028548,C,1,0,0,0,1623.189718761617,C,1,0,0,0,1623.1826262150028,C,1,0,0,0,1623.166667985122,C,1,0,0,0,1623.1578023018549,C,1,0,0,0,1623.1436172086271,C,1,0,0,0,1623.1294321153996,C,1,0,0,0,1623.1808530783496,C,1,0,0,0,1623.1879456249637,C,1,0,0,0,1623.1418440719738,C,1,0,0,0,1623.1613485751618,C,1,0,0,0,1623.1276589787462,C,1,0,0,0,1623.1382977986668,C,1,0,0,0,1623.13475152536,C,1,0,0,0,1623.1861724883097,C,1,0,0,0,1623.1790799416963,C,1,0,0,0,1623.150709755241,C,1,0,0,0,1623.1648948484685,C,1,0,0,0,1623.1312052520532,C,1,0,0,0,1623.1400709353204,C,1,0,0,0,1623.163121711815,C,1,0,0,0,1623.1595754385082,C,1,0,0,0,1623.1755336683893,C,1,0,0,0,1623.147163481934,C,1,0,0,0,1623.1843993516563,C,1,0,0,0,1623.1365246620132,C,1,0,0,0,1623.1560291652015,C,1,0,0,0,1623.177306805043,C,1,0,0,0,1623.1453903452807,3958181526935.55,3958181526935.55,3958181526935.55,3958181526935.55,3958181526935.55,3958181526935.55,3958181526935.55,3958181526935.55,3958181526935.55,3958181526935.55,3958181526935.55,3958181526935.55,3958181526935.55,3958181526935.55,3958181526935.55,3958181526935.55,3958181526935.55,3958181526935.55,3958181526935.55,3958181526935.55,3958181526935.55,3958181526935.55,3958181526935.55,3958181526935.55,3958181526935.55,3958181526935.55,3958181526935.55,3958181526935.55,3958181526935.55,3958181526935.55,3958181526935.55,3958181526935.55,3958181526935.55,3958181526935.55,3958181526935.55,3958181526935.55
4,3649514915059872531.92,3684484148820.53,481400455978647.55,1623.02,C,2,0,0,0,1623.0995112345784,C,2,0,0,0,1623.096578684449,C,2,0,0,0,1623.0936461343197,C,2,0,0,0,1623.064320633027,C,2,0,0,0,1623.058455532768,C,2,0,0,0,1623.0320625816048,C,2,0,0,0,1623.0907135841906,C,2,0,0,0,1623.067253183156,C,2,0,0,0,1623.125904185742,C,2,0,0,0,1623.1141739852246,C,2,0,0,0,1623.0877810340612,C,2,0,0,0,1623.0731182834145,C,2,0,0,0,1623.0496578823802,C,2,0,0,0,1623.0261974813457,C,2,0,0,0,1623.111241435095,C,2,0,0,0,1623.1229716356129,C,2,0,0,0,1623.0467253322508,C,2,0,0,0,1623.0789833836732,C,2,0,0,0,1623.0232649312168,C,2,0,0,0,1623.0408602319924,C,2,0,0,0,1623.034995131734,C,2,0,0,0,1623.1200390854833,C,2,0,0,0,1623.1083088849662,C,2,0,0,0,1623.0613880828973,C,2,0,0,0,1623.0848484839314,C,2,0,0,0,1623.029130031475,C,2,0,0,0,1623.0437927821215,C,2,0,0,0,1623.0819159338025,C,2,0,0,0,1623.0760508335436,C,2,0,0,0,1623.1024437847075,C,2,0,0,0,1623.0555229826386,C,2,0,0,0,1623.1171065353537,C,2,0,0,0,1623.037927681863,C,2,0,0,0,1623.0701857332851,C,2,0,0,0,1623.1053763348366,C,2,0,0,0,1623.0525904325095,6525650625488.33,6525650625488.33,6525650625488.33,6525650625488.33,6525650625488.33,6525650625488.33,6525650625488.33,6525650625488.33,6525650625488.33,6525650625488.33,6525650625488.33,6525650625488.33,6525650625488.33,6525650625488.33,6525650625488.33,6525650625488.33,6525650625488.33,6525650625488.33,6525650625488.33,6525650625488.33,6525650625488.33,6525650625488.33,6525650625488.33,6525650625488.33,6525650625488.33,6525650625488.33,6525650625488.33,6525650625488.33,6525650625488.33,6525650625488.33,6525650625488.33,6525650625488.33,6525650625488.33,6525650625488.33,6525650625488.33,6525650625488.33
5,3649159896478021548.01,8243534047348.79,831859987931103.19,1622.86,C,2,0,0,0,1622.9808835494075,C,2,0,0,0,1622.9764947150559,C,2,0,0,0,1622.9721058807045,C,2,0,0,0,1622.9282175371893,C,2,0,0,0,1622.9194398684863,C,2,0,0,0,1622.8799403593225,C,2,0,0,0,1622.967717046353,C,2,0,0,0,1622.932606371541,C,2,0,0,0,1623.0203830585713,C,2,0,0,0,1623.0028277211652,C,2,0,0,0,1622.9633282120014,C,2,0,0,0,1622.941384040244,C,2,0,0,0,1622.906273365432,C,2,0,0,0,1622.87116269062,C,2,0,0,0,1622.9984388868133,C,2,0,0,0,1623.0159942242199,C,2,0,0,0,1622.9018845310802,C,2,0,0,0,1622.9501617089472,C,2,0,0,0,1622.8667738562685,C,2,0,0,0,1622.8931068623772,C,2,0,0,0,1622.8843291936741,C,2,0,0,0,1623.0116053898682,C,2,0,0,0,1622.9940500524617,C,2,0,0,0,1622.9238287028377,C,2,0,0,0,1622.9589393776498,C,2,0,0,0,1622.875551524971,C,2,0,0,0,1622.897495696729,C,2,0,0,0,1622.9545505432986,C,2,0,0,0,1622.9457728745954,C,2,0,0,0,1622.9852723837591,C,2,0,0,0,1622.9150510341346,C,2,0,0,0,1623.0072165555164,C,2,0,0,0,1622.8887180280258,C,2,0,0,0,1622.9369952058923,C,2,0,0,0,1622.9896612181108,C,2,0,0,0,1622.910662199783,9734986998679.32,9734986998679.32,9734986998679.32,9734986998679.32,9734986998679.32,9734986998679.32,9734986998679.32,9734986998679.32,9734986998679.32,9734986998679.32,9734986998679.32,9734986998679.32,9734986998679.32,9734986998679.32,9734986998679.32,9734986998679.32,9734986998679.32,9734986998679.32,9734986998679.32,9734986998679.32,9734986998679.32,9734986998679.32,9734986998679.32,9734986998679.32,9734986998679.32,9734986998679.32,9734986998679.32,9734986998679.32,9734986998679.32,9734986998679.32,9734986998679.32,9734986998679.32,9734986998679.32,9734986998679.32,9734986998679.32,9734986998679.32
6,3648662971878885731.06,16065269908860.03,1320962851205408.91,1622.64,C,2,0,0,0,1622.8071948113018,C,2,0,0,0,1622.8010499674547,C,2,0,0,0,1622.7949051236083,C,2,0,0,0,1622.7334566851432,C,2,0,0,0,1622.72116699745,C,2,0,0,0,1622.6658634028317,C,2,0,0,0,1622.788760279762,C,2,0,0,0,1622.7396015289899,C,2,0,0,0,1622.8624984059202,C,2,0,0,0,1622.8379190305338,C,2,0,0,0,1622.7826154359154,C,2,0,0,0,1622.7518912166831,C,2,0,0,0,1622.7027324659107,C,2,0,0,0,1622.6535737151385,C,2,0,0,0,1622.8317741866874,C,2,0,0,0,1622.856353562074,C,2,0,0,0,1622.6965876220638,C,2,0,0,0,1622.764180904376,C,2,0,0,0,1622.6474288712918,C,2,0,0,0,1622.6842979343712,C,2,0,0,0,1622.6720082466784,C,2,0,0,0,1622.8502087182271,C,2,0,0,0,1622.8256293428412,C,2,0,0,0,1622.7273118412966,C,2,0,0,0,1622.776470592069,C,2,0,0,0,1622.659718558985,C,2,0,0,0,1622.6904427782176,C,2,0,0,0,1622.7703257482224,C,2,0,0,0,1622.758036060529,C,2,0,0,0,1622.8133396551482,C,2,0,0,0,1622.715022153604,C,2,0,0,0,1622.844063874381,C,2,0,0,0,1622.6781530905248,C,2,0,0,0,1622.7457463728363,C,2,0,0,0,1622.8194844989948,C,2,0,0,0,1622.708877309757,13586190646508.49,13586190646508.49,13586190646508.49,13586190646508.49,13586190646508.49,13586190646508.49,13586190646508.49,13586190646508.49,13586190646508.49,13586190646508.49,13586190646508.49,13586190646508.49,13586190646508.49,13586190646508.49,13586190646508.49,13586190646508.49,13586190646508.49,13586190646508.49,13586190646508.49,13586190646508.49,13586190646508.49,13586190646508.49,13586190646508.49,13586190646508.49,13586190646508.49,13586190646508.49,13586190646508.49,13586190646508.49,13586190646508.49,13586190646508.49,13586190646508.49,13586190646508.49,13586190646508.49,13586190646508.49,13586190646508.49,13586190646508.49
7,3647999787080843173.26,28396651468286.70,1971816267688540.05,1622.35,C,2,0,0,0,1622.5676740956492,C,2,0,0,0,1622.5594706625086,C,2,0,0,0,1622.5512672293676,C,2,0,0,0,1622.4692328979604,C,2,0,0,0,1622.452826031679,C,2,0,0,0,1622.3789951334127,C,2,0,0,0,1622.5430637962268,C,2,0,0,0,1622.4774363311012,C,2,0,0,0,1622.641504993916,C,2,0,0,0,1622.6086912613525,C,2,0,0,0,1622.5348603630862,C,2,0,0,0,1622.4938431973828,C,2,0,0,0,1622.4282157322566,C,2,0,0,0,1622.362588267131,C,2,0,0,0,1622.6004878282122,C,2,0,0,0,1622.6333015607747,C,2,0,0,0,1622.4200122991163,C,2,0,0,0,1622.510250063664,C,2,0,0,0,1622.3543848339905,C,2,0,0,0,1622.4036054328344,C,2,0,0,0,1622.3871985665533,C,2,0,0,0,1622.6250981276344,C,2,0,0,0,1622.5922843950714,C,2,0,0,0,1622.46102946482,C,2,0,0,0,1622.5266569299456,C,2,0,0,0,1622.370791700272,C,2,0,0,0,1622.4118088659754,C,2,0,0,0,1622.5184534968048,C,2,0,0,0,1622.5020466305234,C,2,0,0,0,1622.5758775287898,C,2,0,0,0,1622.4446225985387,C,2,0,0,0,1622.616894694493,C,2,0,0,0,1622.3954019996943,C,2,0,0,0,1622.4856397642418,C,2,0,0,0,1622.5840809619308,C,2,0,0,0,1622.4364191653976,18079261568975.87,18079261568975.87,18079261568975.87,18079261568975.87,18079261568975.87,18079261568975.87,18079261568975.87,18079261568975.87,18079261568975.87,18079261568975.87,18079261568975.87,18079261568975.87,18079261568975.87,18079261568975.87,18079261568975.87,18079261568975.87,18079261568975.87,18079261568975.87,18079261568975.87,18079261568975.87,18079261568975.87,18079261568975.87,18079261568975.87,18079261568975.87,18079261568975.87,18079261568975.87,18079261568975.87,18079261568975.87,18079261568975.87,18079261568975.87,18079261568975.87,18079261568975.87,18079261568975.87,18079261568975.87,18079261568975.87,18079261568975.87
8,3647145801171011712.08,46671369720816.94,2807527459267470.99,1621.97,C,2,0,0,0,1622.2514648659414,C,2,0,0,0,1622.2408974091807,C,2,0,0,0,1622.23032995242,C,2,0,0,0,1622.124655384815,C,2,0,0,0,1622.1035204712941,C,2,0,0,0,1622.0084133604496,C,2,0,0,0,1622.21976249566,C,2,0,0,0,1622.1352228415758,C,2,0,0,0,1622.346571976786,C,2,0,0,0,1622.304302149744,C,2,0,0,0,1622.2091950388995,C,2,0,0,0,1622.1563577550967,C,2,0,0,0,1622.071818101013,C,2,0,0,0,1621.9872784469283,C,2,0,0,0,1622.293734692984,C,2,0,0,0,1622.3360045200254,C,2,0,0,0,1622.0612506442521,C,2,0,0,0,1622.1774926686178,C,2,0,0,0,1621.9767109901682,C,2,0,0,0,1622.040115730731,C,2,0,0,0,1622.0189808172097,C,2,0,0,0,1622.3254370632653,C,2,0,0,0,1622.283167236223,C,2,0,0,0,1622.1140879280547,C,2,0,0,0,1622.198627582139,C,2,0,0,0,1621.9978459036893,C,2,0,0,0,1622.0506831874916,C,2,0,0,0,1622.1880601253786,C,2,0,0,0,1622.1669252118575,C,2,0,0,0,1622.262032322702,C,2,0,0,0,1622.0929530145336,C,2,0,0,0,1622.3148696065045,C,2,0,0,0,1622.0295482739702,C,2,0,0,0,1622.1457902983361,C,2,0,0,0,1622.272599779462,C,2,0,0,0,1622.082385557773,23214199766081.42,23214199766081.42,23214199766081.42,23214199766081.42,23214199766081.42,23214199766081.42,23214199766081.42,23214199766081.42,23214199766081.42,23214199766081.42,23214199766081.42,23214199766081.42,23214199766081.42,23214199766081.42,23214199766081.42,23214199766081.42,23214199766081.42,23214199766081.42,23214199766081.42,23214199766081.42,23214199766081.42,23214199766081.42,23214199766081.42,23214199766081.42,23214199766081.42,23214199766081.42,23214199766081.42,23214199766081.42,23214199766081.42,23214199766081.42,23214199766081.42,23214199766081.42,23214199766081.42,23214199766081.42,23214199766081.42,23214199766081.42
9,3646076292107186734.12,72504244984086.90,3851203647829178.98,1621.49,C,2,0,0,0,1621.8476275421283,C,2,0,0,0,1621.834387772896,C,2,0,0,0,1621.8211480036637,C,2,0,0,0,1621.6887503113405,C,2,0,0,0,1621.6622707728757,C,2,0,0,0,1621.5431128497848,C,2,0,0,0,1621.8079082344314,C,2,0,0,0,1621.701990080573,C,2,0,0,0,1621.9667854652196,C,2,0,0,0,1621.91382638829,C,2,0,0,0,1621.7946684651988,C,2,0,0,0,1621.7284696190377,C,2,0,0,0,1621.6225514651792,C,2,0,0,0,1621.5166333113202,C,2,0,0,0,1621.9005866190578,C,2,0,0,0,1621.953545695987,C,2,0,0,0,1621.6093116959466,C,2,0,0,0,1621.754949157502,C,2,0,0,0,1621.503393542088,C,2,0,0,0,1621.5828321574816,C,2,0,0,0,1621.5563526190172,C,2,0,0,0,1621.940305926755,C,2,0,0,0,1621.8873468498255,C,2,0,0,0,1621.6755105421084,C,2,0,0,0,1621.7814286959667,C,2,0,0,0,1621.5298730805523,C,2,0,0,0,1621.596071926714,C,2,0,0,0,1621.7681889267349,C,2,0,0,0,1621.7417093882698,C,2,0,0,0,1621.860867311361,C,2,0,0,0,1621.6490310036434,C,2,0,0,0,1621.9270661575226,C,2,0,0,0,1621.569592388249,C,2,0,0,0,1621.715229849805,C,2,0,0,0,1621.8741070805934,C,2,0,0,0,1621.6357912344115,28991005237825.22,28991005237825.22,28991005237825.22,28991005237825.22,28991005237825.22,28991005237825.22,28991005237825.22,28991005237825.22,28991005237825.22,28991005237825.22,28991005237825.22,28991005237825.22,28991005237825.22,28991005237825.22,28991005237825.22,28991005237825.22,28991005237825.22,28991005237825.22,28991005237825.22,28991005237825.22,28991005237825.22,28991005237825.22,28991005237825.22,28991005237825.22,28991005237825.22,28991005237825.22,28991005237825.22,28991005237825.22,28991005237825.22,28991005237825.22,28991005237825.22,28991005237825.22,28991005237825.22,28991005237825.22,28991005237825.22,28991005237825.22
10,3644766362151720855.75,107685793018507.33,5125952055260636.92,1620.91,C,2,0,0,0,1621.3451419919254,C,2,0,0,0,1621.3289187668427,C,2,0,0,0,1621.3126955417604,C,2,0,0,0,1621.1504632909348,C,2,0,0,0,1621.1180168407695,C,2,0,0,0,1620.9720078150265,C,2,0,0,0,1621.2964723166776,C,2,0,0,0,1621.1666865160173,C,2,0,0,0,1621.4911510176685,C,2,0,0,0,1621.4262581173382,C,2,0,0,0,1621.280249091595,C,2,0,0,0,1621.1991329661823,C,2,0,0,0,1621.0693471655218,C,2,0,0,0,1620.9395613648614,C,2,0,0,0,1621.4100348922557,C,2,0,0,0,1621.4749277925857,C,2,0,0,0,1621.0531239404395,C,2,0,0,0,1621.2315794163476,C,2,0,0,0,1620.9233381397787,C,2,0,0,0,1621.0206774902742,C,2,0,0,0,1620.9882310401092,C,2,0,0,0,1621.4587045675037,C,2,0,0,0,1621.393811667173,C,2,0,0,0,1621.134240065852,C,2,0,0,0,1621.2640258665126,C,2,0,0,0,1620.9557845899437,C,2,0,0,0,1621.0369007153565,C,2,0,0,0,1621.24780264143,C,2,0,0,0,1621.215356191265,C,2,0,0,0,1621.3613652170077,C,2,0,0,0,1621.1017936156866,C,2,0,0,0,1621.4424813424207,C,2,0,0,0,1621.0044542651915,C,2,0,0,0,1621.1829097410998,C,2,0,0,0,1621.3775884420904,C,2,0,0,0,1621.0855703906045,35409677984207.17,35409677984207.17,35409677984207.17,35409677984207.17,35409677984207.17,35409677984207.17,35409677984207.17,35409677984207.17,35409677984207.17,35409677984207.17,35409677984207.17,35409677984207.17,35409677984207.17,35409677984207.17,35409677984207.17,35409677984207.17,35409677984207.17,35409677984207.17,35409677984207.17,35409677984207.17,35409677984207.17,35409677984207.17,35409677984207.17,35409677984207.17,35409677984207.17,35409677984207.17,35409677984207.17,35409677984207.17,35409677984207.17,35409677984207.17,35409677984207.17,35409677984207.17,35409677984207.17,35409677984207.17,35409677984207.17,35409677984207.17
11,3643190943142387199.98,154176954163980.30,6654879903448819.72,1620.21,C,2,0,0,0,1620.7329099473798,C,2,0,0,0,1620.713389268542,C,2,0,0,0,1620.6938685897046,C,2,0,0,0,1620.4986618013281,C,2,0,0,0,1620.4596204436532,C,2,0,0,0,1620.2839343341147,C,2,0,0,0,1620.6743479108668,C,2,0,0,0,1620.518182480166,C,2,0,0,0,1620.9085960569184,C,2,0,0,0,1620.8305133415677,C,2,0,0,0,1620.654827232029,C,2,0,0,0,1620.557223837841,C,2,0,0,0,1620.4010584071402,C,2,0,0,0,1620.2448929764394,C,2,0,0,0,1620.81099266273,C,2,0,0,0,1620.8890753780804,C,2,0,0,0,1620.3815377283026,C,2,0,0,0,1620.5962651955167,C,2,0,0,0,1620.225372297602,C,2,0,0,0,1620.3424963706275,C,2,0,0,0,1620.303455012952,C,2,0,0,0,1620.8695546992428,C,2,0,0,0,1620.7914719838925,C,2,0,0,0,1620.4791411224908,C,2,0,0,0,1620.6353065531916,C,2,0,0,0,1620.264413655277,C,2,0,0,0,1620.362017049465,C,2,0,0,0,1620.615785874354,C,2,0,0,0,1620.5767445166791,C,2,0,0,0,1620.7524306262173,C,2,0,0,0,1620.4400997648152,C,2,0,0,0,1620.8500340204055,C,2,0,0,0,1620.3229756917897,C,2,0,0,0,1620.5377031590037,C,2,0,0,0,1620.7719513050547,C,2,0,0,0,1620.4205790859778,42470218005227.30,42470218005227.30,42470218005227.30,42470218005227.30,42470218005227.30,42470218005227.30,42470218005227.30,42470218005227.30,42470218005227.30,42470218005227.30,42470218005227.30,42470218005227.30,42470218005227.30,42470218005227.30,42470218005227.30,42470218005227.30,42470218005227.30,42470218005227.30,42470218005227.30,42470218005227.30,42470218005227.30,42470218005227.30,42470218005227.30,42470218005227.30,42470218005227.30,42470218005227.30,42470218005227.30,42470218005227.30,42470218005227.30,42470218005227.30,42470218005227.30,42470218005227.30,42470218005227.30,42470218005227.30,42470218005227.30,42470218005227.30
